TF	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
ZNF646	1.64	0.0	0.0	0.0
ZNF655	5.18	0.0	0.0	0.0
ZNF672	1.43	0.0	0.0	0.36
ZNF687	0.82	0.0	0.17	0.0
ZNF688	1.26	0.0	0.0	0.0
ZNF692	1.09	0.0	0.0	0.0
ZNF706	1.065	0.0	0.0	0.0
ZNF787	1.95	0.0	0.0	0.0
ZNF789	0.35	0.0	0.0	0.0
ZSCAN18	0.79	0.0	0.0	0.0
