Gene	WT-1_Read_Count	WT-2_Read_Count	Toluene-1_Read_Count	Toluene-2_Read_Count
Acaa1a	27	10	16	9
Acaa2	14	2	2	0
Acad11	0	4	0	0
Acadm	4	0	1	2
Acads	4	0	4	0
Acadvl	6	2	3	0
Acat1	5	0	0	0
Acat3	3	3	1	0
Acly	3	0	0	0
Aco1	1	0	0	0
Acox1	77	11	18	3
Acox2	0	0	0	0
Acsl1	10	4	0	1
Acsl5	5	0	4	0
Acsm1	1	0	1	0
Acss2	4	0	0	0
Actb	1	1	0	0
Actn4	3	0	0	0
Adck5	1	0	1	0
Adh1	45	13	29	8
Adh5	4	4	1	0
Adhfe1	1	0	0	0
Adipor2	8	1	4	1
Adk	1	0	0	0
Adora1	2	0	1	0
Adra1b	0	0	0	0
Aes	24	1	16	0
Ago1	0	0	7	4
Agpat3	2	3	1	0
Agt	20	5	5	7
Agxt	5	0	0	0
Ahcy	60	21	21	21
Ahsg	340	77	136	46
Ak3	1	0	0	0
Akr1a1	2	0	0	1
Akr1c12	1	0	0	0
Akr1c6	18	2	6	3
Akt2	6	0	0	0
AlaAT1	679	815	747	1054
Alas1	35	6	5	0
Alb	3280	616	1344	333
Aldh1a1	10	1	1	0
Aldh1a7	3	0	0	0
Aldh1l1	21	5	8	1
Aldh2	122	18	20	15
Aldh3a2	1	0	0	0
Aldh4a1	1	0	1	0
Aldh6a1	4	3	1	0
Aldh7a1	5	1	0	1
Aldh8a1	0	0	0	2
Aldh9a1	0	2	0	0
Aldob	105	20	50	9
Amacr	2	0	0	0
Ambp	82	10	27	11
Amdhd1	3	1	3	1
Amfr	8	0	1	0
Amy1	0	0	0	0
Anapc5	0	0	3	0
Ang	12	3	2	0
Angptl3	2	0	1	0
Ankrd40	4	0	0	0
Anp32b	0	0	4	0
Anxa5	4	0	0	0
Anxa7	1	0	1	0
Aox3	4	0	5	0
Apcs	2	0	0	0
Apoa1	543	119	237	58
Apoa1bp	0	0	1	0
Apoa2	151	26	53	11
Apoa5	80	19	41	11
Apob	11	2	7	3
Apoc1	107	29	43	2
Apoc3	46	10	11	14
Apoe	904	221	452	120
Apof	14	1	2	2
Apoh	59	9	13	0
Aqp9	2	0	0	0
Arabidopsis	0	0	2	0
Araf	1	0	1	0
Arf6	0	0	2	0
Arg1	55	4	12	0
ArgK	0	0	0	2
Arhgap35	1	0	0	0
Arl6ip1	0	3	0	0
Arp1	0	0	2	2
Asgr1	4	1	3	1
Asgr2	4	1	2	0
Asl	19	6	5	3
Asp-Glu-Ala-Asp	57	3	5	1
Aspdh	0	0	0	0
Aspg	2	2	2	0
Ass1	103	20	41	13
At1g63990	0	3	1	1
Atf5	14	1	2	0
Atp1b1	0	0	0	0
Atp2a2	1	0	3	0
Atp5a1	22	6	5	3
Atp5b	0	0	17	31
Atp5c1	7	1	7	1
Atp5d	8	2	0	0
Atp5e	0	0	5	2
Atp5f1	3	0	3	0
Atp5g1	14	5	3	1
Atp5g2	0	0	43	95
Atp5h	1	0	1	0
Atp5j	0	2	0	0
Atp5o	1	0	0	0
Atp6v0c	1	0	0	0
Azgp1	30	15	11	3
B	0	0	4	0
B2m	28	8	8	5
B3GALT4	3	0	0	0
B3GALT6	2	0	0	0
B3GNT3	15	0	0	0
B3GNT4	9	0	0	0
B3GNT7	118	0	0	1
B3GNT8	11	0	0	0
BACE1	1	0	0	0
BAD	19	0	0	0
BAG1	25	0	0	1
BAG3	5	0	0	0
BAG6	5	0	0	0
BAHD1	2387	2485	3853	4782
BAIAP2-AS1	1	0	0	0
BAIAP2L1	9	0	0	0
BAM3	9180	10950	2154	3322
