Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
ARFGAP1	2.435	0.0	0.0	0.0
ARFGAP2	0.76	0.0	0.0	0.0
ARFGAP3	1.21	0.0	0.0	0.0
ARFIP2	1.945	0.0	0.0	0.0
ARFRP1	1.48	0.0	0.0	0.0
ARGLU1	1.01	0.0	0.0	0.0
ARHGAP27	1.57	0.0	0.0	0.0
ARHGAP27P1	0.86	0.0	0.0	0.0
ARHGAP4	1.05	0.0	0.0	0.0
ARHGDIA	0.37	0.16	0.0	0.0
ARHGDIB	2.22	0.1	0.0	0.0
ARHGEF11	0.0	0.0	0.0	0.0
ARHGEF16	1.3866666666666667	0.0	0.2333333333333333	0.0
ARHGEF18	1.68	0.0	0.0	0.0
ARHGEF2	2.29	0.0	0.0	0.0
ARID1A	0.59	0.53	0.74	0.0
ARIH2	1.05	0.0	0.0	0.0
ARL14	0.25	0.0	0.0	0.47
ARL16	0.98	0.0	0.0	0.0
ARL6IP1	0.4	0.53	0.0	0.0
ARL6IP4	1.05	0.0	0.0	0.0
ARL6IP5	2.94	0.0	0.0	0.0
ARMC5	1.03	0.0	0.0	0.0
ARMC8	1.6	0.0	0.0	0.0
ARPC1B	1.2200000000000002	0.0	0.0	0.0
ARPC2	0.9866666666666667	0.09000000000000001	0.05333333333333334	0.19666666666666666
ARPC3	2.57	0.0	0.0	0.22
ARPC4	4.59	0.06	0.0	0.0
ARPC5	1.2	0.0	0.0	0.0
ARPC5L	1.8	0.0	0.0	0.0
ARRB1	0.71	0.0	0.0	0.0
ARRDC1	0.34	0.0	0.0	0.0
ARSA	2.22	0.0	0.0	0.0
ASAH	1.23	0.0	0.0	0.0
ASH2L	0.87	0.0	0.0	0.0
ASMTL	0.0	0.0	0.4	0.22
ASMTL-AS1	2.11	0.0	0.0	0.0
ASS1	11.08	0.0	0.0	0.0
ATAD1	2.14	0.0	0.0	0.0
ATAD3B	1.29	0.0	0.0	0.0
ATF4	1.2149999999999999	0.0	0.25	0.0
ATG101	0.83	0.0	0.0	0.0
ATG13	1.4	0.0	0.0	0.0
ATG16L2	2.78	0.0	0.0	0.0
ATG4D	1.15	0.0	0.0	0.0
ATG7	2.04	0.0	0.0	0.0
ATG9A	1.85	0.0	0.0	0.0
ATOX1	1.38	0.0	0.0	0.0
ATP	142.02	142.13	83.34	147.05
ATP-hydrolysing	1.4000000000000001	0.04666666666666667	0.0	0.0
ATP13A1	2.07	0.0	0.0	0.0
ATP13A3	1.7	1.53	0.0	0.0
ATP13A4	1.12	0.0	0.0	0.0
ATP1A1	2.0749999999999997	0.055	0.39	0.0
ATP1B1	0.95	0.0	0.0	0.0
ATP1B3	1.93	0.0	0.0	0.0
ATP2A1	1.405	0.84	0.0	0.0
ATP2A2	0.94	0.0	0.78	0.0
ATP2A3	2.22	0.0	0.0	0.0
ATP2C2	2.36	0.0	0.0	0.0
ATP5A1	0.0	0.0	0.0	0.455
ATP5B	0.79	0.05	0.09	0.03
ATP5C1	2.18	0.0	0.0	0.0
ATP5E	15.46	0.32	0.5	0.23
ATP5F1A	2.57	0.05	0.0	0.06
ATP5G3	2.66	0.1	0.0	0.16
ATP5H	4.02	0.06	0.0	0.0
ATP5IF1	2.95	0.0	0.0	0.0
ATP5MC2	2.73	0.13	0.06	0.0
ATP5MD	5.75	0.0	0.0	0.0
ATP5ME	10.82	0.45	0.14	0.0
ATP5MF	3.82	0.2	0.0	0.33
ATP5MPL	5.19	0.0	0.0	0.54
ATP5PO	3.23	0.0	0.0	0.0
ATP6AP1	3.77	0.0	0.0	0.0
ATP6V0A1	1.43	0.0	0.0	0.0
ATP6V0B	2.9	0.0	0.0	0.0
ATP6V0C	0.88	0.0	0.0	0.0
ATP6V0D1	1.07	0.06	0.0	0.0
ATP6V0E1	4.14	0.0	0.44	0.0
ATP6V1B2	1.09	0.0	0.0	0.0
ATP6V1C2	1.95	0.0	0.0	0.0
ATP6V1D	1.73	0.0	0.0	0.0
ATP6V1E1	1.57	0.0	0.0	0.0
ATP6V1F	0.37	0.21	0.1	0.0
ATP6V1G2-DDX39B	2.16	0.05	0.0	0.0
ATRAID	2.06	0.0	0.0	0.0
ATXN2L	1.17	0.0	0.0	0.0
AUP1	1.26	0.0	0.0	0.0
AURKAIP1	2.88	0.07	0.0	0.0
AUTS2	1.15	0.0	0.0	0.0
AUX1	26.99	27.07	14.32	29.57
AVPI1	0.62	0.09	0.0	0.0
AXIN	0.56	0.0	0.0	0.0
Aass	0.69	0.0	0.0	0.0
Abcb11	0.0	0.285	0.37	0.0
Abcc2	1.43	1.27	0.0	0.45
Abhd14b	0.77	0.04	0.11	0.0
Acaa1a	0.46	0.15	0.23	0.15
Acaa2	0.77	0.1	0.09	0.0
Acad11	0.0	1.24	0.0	0.0
Acadm	0.4575	0.0	0.0575	0.1075
Acads	0.6799999999999999	0.0	0.42	0.0
Acadvl	0.49	0.1	0.20500000000000002	0.0
Acat1	0.885	0.0	0.0	0.0
Acat3	0.3	0.38	0.12	0.0
Acly	2.84	0.0	0.0	0.0
Aco1	0.8	0.0	0.0	0.0
Acox1	0.44333333333333336	0.056666666666666664	0.08666666666666667	0.013333333333333334
Acox2	0.0	0.0	0.0	0.0
Acsl1	0.465	0.12	0.0	0.05
Acsl5	1.0899999999999999	0.0	0.875	0.0
Acsm1	0.37	0.0	0.31	0.0
Acss2	1.99	0.0	0.0	0.0
Actb	0.44	0.39	0.0	0.0
Actn4	2.72	0.0	0.0	0.0
Adck5	0.395	0.0	0.33	0.0
Adh1	1.01	0.25	0.54	0.17
Adh5	0.41500000000000004	0.305	0.07	0.0
Adhfe1	0.32	0.0	0.0	0.0
Adipor2	0.6666666666666666	0.04666666666666667	0.2833333333333333	0.049999999999999996
Adk	0.95	0.0	0.0	0.0
Adora1	0.95	0.0	0.4	0.0
Adra1b	0.0	0.0	0.0	0.0
Aes	0.62	0.02	0.35	0.0
Ago1	0.0	0.0	1.74	1.12
Agpat3	0.585	1.335	0.075	0.0
Agt	0.5175000000000001	0.1325	0.52	0.18
Agxt	0.82	0.0	0.0	0.0
Ahcy	1.11	0.285	0.265	0.345
Ahsg	2.2933333333333334	0.4466666666666667	0.8733333333333334	0.29333333333333333
Ak3	0.38	0.0	0.0	0.0
Akr1a1	0.4	0.0	0.0	0.19
Akr1c12	0.8	0.0	0.0	0.0
Akr1c6	0.79	0.04	0.22	0.065
Akt2	1.2349999999999999	0.0	0.0	0.0
AlaAT1	9.57	9.84	8.77	14.03
Alas1	0.7275	0.115	0.11	0.0
Alb	45.18	7.27	15.41	4.33
Aldh1a1	0.55	0.065	0.06	0.0
Aldh1a7	1.74	0.0	0.0	0.0
Aldh1l1	0.5366666666666666	0.07	0.09333333333333334	0.01
Aldh2	1.79	0.23	0.24	0.21
Aldh3a2	0.66	0.0	0.0	0.0
Aldh4a1	0.65	0.0	0.54	0.0
Aldh6a1	1.19	0.8	0.25	0.0
Aldh7a1	0.195	0.035	0.0	0.035
Aldh8a1	0.0	0.0	0.0	0.225
Aldh9a1	0.0	1.41	0.0	0.0
Aldob	1.77	0.29	0.7	0.14
Amacr	1.18	0.0	0.0	0.0
Ambp	2.02	0.21	0.55	0.26
Amdhd1	0.44999999999999996	0.09	0.375	0.23
Amfr	1.18	0.0	0.12	0.0
Amy1	0.0	0.0	0.0	0.0
Anapc5	0.0	0.0	1.23	0.0
Ang	0.86	0.19	0.12	0.0
Angptl3	0.34	0.0	0.14	0.0
Ankrd40	3.79	0.0	0.0	0.0
Anp32b	0.0	0.0	2.39	0.0
Anxa5	4.24	0.0	0.0	0.0
Anxa7	0.76	0.0	0.63	0.0
Aox3	0.39749999999999996	0.0	0.6975	0.0
Apcs	1.74	0.0	0.0	0.0
Apoa1	20.01	3.78	7.27	2.02
Apoa1bp	0.0	0.0	0.53	0.0
Apoa2	15.11	2.28	4.42	1.04
Apoa5	1.15	0.23	0.49	0.15
Apob	0.22999999999999998	0.04	0.42	0.05666666666666667
Apoc1	11.1	2.63	3.71	0.2
Apoc3	3.62	0.69	0.72	1.04
Apoe	23.68	4.97	9.86	2.97
Apof	0.7566666666666667	0.04	0.2733333333333333	0.20666666666666667
Apoh	1.63	0.21	0.3	0.0
Aqp9	1.67	0.0	0.0	0.0
Arabidopsis	0.0	0.0	1.03	0.0
Araf	0.83	0.0	0.7	0.0
Arf6	0.0	0.0	1.19	0.0
Arg1	1.32	0.08	0.24	0.0
ArgK	0.0	0.0	0.0	0.29
Arhgap35	0.99	0.0	0.0	0.0
Arl6ip1	0.0	1.92	0.0	0.0
Arp1	0.0	0.0	0.31	0.35
Asgr1	0.185	0.04	0.445	0.045
Asgr2	1.095	0.175	0.33	0.0
Asl	0.49	0.13	0.11	0.07
